Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,3327.21533203125,3518.12109375,3254.4892578125,3499.939453125,2832.67724609375,3002470389.0
2019-01-31,3527.2119140625,3636.30078125,3409.031982421875,3499.939453125,2832.67724609375,2022030167.0
2019-02-28,3518.12109375,3763.5712890625,3436.30419921875,3736.299072265625,3023.975341796875,1649003492.0
2019-03-31,3763.5712890625,4299.92578125,3754.480712890625,3972.65869140625,3215.272705078125,2106681909.0
2019-04-30,3972.65869140625,4018.1123046875,3327.21533203125,3727.208251953125,3016.617431640625,3630835012.0
2019-05-31,3727.208251953125,3999.930908203125,3727.208251953125,3963.56787109375,3321.96142578125,1851234179.0
2019-06-30,3999.930908203125,4145.3828125,3963.56787109375,4072.656982421875,3413.391845703125,1822405647.0
2019-07-31,4081.74755859375,4099.92919921875,3636.30078125,3881.751220703125,3253.388671875,2603958915.0
2019-08-31,3881.751220703125,3954.47705078125,3654.482421875,3745.389892578125,3139.101318359375,2102141468.0
2019-09-30,3745.389892578125,3927.204833984375,3463.576416015625,3827.20654296875,3207.673583984375,2666323173.0
2019-10-31,3836.29736328125,3936.295654296875,3545.393310546875,3718.11767578125,3116.24365234375,2715345851.0
2019-11-30,3772.662109375,4063.566162109375,3745.389892578125,3999.930908203125,3352.438232421875,1978603505.0
2019-12-31,3999.930908203125,4327.19775390625,3927.204833984375,4054.475341796875,3398.1533203125,2586794660.0
2020-01-31,4054.475341796875,4263.5625,3554.484130859375,3809.025146484375,3192.435302734375,2679201317.0
2020-02-29,3809.025146484375,3909.0234375,2218.1435546875,2745.4072265625,2390.753173828125,5926485670.0
2020-03-31,2736.31640625,2945.403564453125,2327.232421875,2481.775390625,2161.17724609375,6251465496.0
2020-04-30,2481.775390625,2681.77197265625,1963.6024169921875,2681.77197265625,2335.338134765625,6858676978.0
2020-05-31,2681.77197265625,3063.58349609375,2545.41064453125,2754.497802734375,2398.6689453125,6125783266.0
2020-06-30,2763.588623046875,2954.494384765625,2754.497802734375,2872.677734375,2501.58251953125,3422477773.0
2020-07-31,2881.768310546875,3472.667236328125,2699.953369140625,3190.85400390625,2778.656494140625,3790650614.0
2020-08-31,3227.217041015625,3354.487548828125,2727.2255859375,2763.588623046875,2406.585693359375,4403816384.0
2020-09-30,2809.04248046875,3090.855712890625,2781.77001953125,3054.49267578125,2659.91015625,3060399040.0
2020-10-31,3054.49267578125,3990.840087890625,2990.857421875,3718.11767578125,3237.8076171875,5351717386.0
2020-11-30,3754.480712890625,4045.384765625,3590.84716796875,3790.843505859375,3301.138427734375,3142266304.0
2020-12-31,3790.843505859375,4499.92236328125,3772.662109375,3799.934326171875,3309.05517578125,3959785904.0
2021-01-31,3799.934326171875,4427.1962890625,3599.937744140625,4281.744140625,3728.624267578125,2987561172.0
2021-02-28,4363.56103515625,4436.287109375,3872.660400390625,3999.930908203125,3483.216064453125,2715949977.0
2021-03-31,3954.47705078125,4054.475341796875,3681.754638671875,3681.754638671875,3206.14208984375,3027373941.0
2021-04-30,3690.845458984375,3890.841796875,3472.667236328125,3872.660400390625,3453.718017578125,3046403062.0
2021-05-31,3872.660400390625,3990.840087890625,3509.0302734375,3581.75634765625,3194.283447265625,3657802639.0
2021-06-30,3581.75634765625,3663.572998046875,3363.578369140625,3372.6689453125,3007.815185546875,2345538161.0
2021-07-31,3427.213623046875,3718.11767578125,3363.578369140625,3572.66552734375,3186.176513671875,2469802250.0
2021-08-31,3572.66552734375,3880.0,3463.576416015625,3850.0,3433.5087890625,6073477827.0
2021-09-30,3850.0,4460.0,3830.0,4250.0,3790.23681640625,4745652300.0
2021-10-31,4330.0,4340.0,4080.0,4090.0,3647.5458984375,2919948500.0
2021-11-30,4090.0,4250.0,4050.0,4110.0,3665.38232421875,2371759500.0
2021-12-31,4120.0,4240.0,4000.0,4070.0,3629.70947265625,2155349200.0
2022-01-31,4070.0,4550.0,4060.0,4550.0,4057.783203125,3079276500.0
2022-02-28,4850.0,4860.0,4370.0,4660.0,4155.88330078125,4613209200.0
2022-03-31,4690.0,4980.0,4530.0,4870.0,4515.3330078125,3026100600.0
2022-04-30,4870.0,4870.0,4250.0,4630.0,4292.8115234375,3667527100.0
2022-05-31,4630.0,4630.0,4120.0,4150.0,3847.7685546875,3367868300.0
2022-06-30,4150.0,4430.0,3960.0,4360.0,4042.474609375,2883007400.0
2022-07-31,4390.0,4470.0,4220.0,4340.0,4023.930908203125,3068759600.0
2022-08-31,4320.0,4700.0,4310.0,4490.0,4163.00732421875,4101714400.0
2022-09-30,4500.0,4680.0,4260.0,4650.0,4311.35498046875,3532993300.0
2022-10-31,4690.0,4980.0,4490.0,4980.0,4617.32177734375,3796100300.0
2022-11-30,5000.0,5025.0,4710.0,4940.0,4580.23486328125,3516745800.0
2022-12-31,4910.0,4920.0,4360.0,4580.0,4246.45263671875,3515371800.0
2023-01-31,4630.0,4900.0,4600.0,4670.0,4384.3447265625,2662974600.0
2023-02-28,4730.0,4920.0,4640.0,4730.0,4440.6748046875,2858072700.0
2023-03-31,4770.0,5275.0,4760.0,5100.0,5025.169921875,1949491800.0
2023-04-30,5100.0,5625.0,5025.0,5575.0,5493.20068359375,3701713200.0
2023-05-31,5575.0,5600.0,5350.0,5425.0,5345.4013671875,1868006700.0
