Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Trend_Up
2019-02-21,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,125997166.0,2019,February,Thursday,0
2019-02-22,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,February,Friday,0
2019-02-25,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,117405577.0,2019,February,Monday,0
2019-02-26,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,February,Tuesday,0
2019-02-27,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,96869983.0,2019,February,Wednesday,0
2019-02-28,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,117143553.0,2019,February,Thursday,0
2019-03-01,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,March,Friday,0
2019-03-04,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,March,Monday,0
2019-03-05,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,March,Tuesday,0
2019-03-06,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,March,Wednesday,0
2019-03-07,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,March,Thursday,0
2019-03-08,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,142765635.0,2019,March,Friday,0
2019-03-11,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,March,Monday,0
2019-03-12,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,March,Tuesday,0
2019-03-13,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,March,Wednesday,0
2019-03-14,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,99175072.0,2019,March,Thursday,0
2019-03-15,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,106867285.0,2019,March,Friday,0
2019-03-18,3645.3916015625,3699.93603515625,3618.119384765625,3644.043701171875,3139.10107421875,102196275.0,2019,March,Monday,0
2019-03-19,3672.663818359375,3699.93603515625,3609.028564453125,3644.043701171875,3139.10107421875,95796820.5,2019,March,Tuesday,0
2019-03-20,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,March,Wednesday,0
2019-03-21,3645.3916015625,3699.93603515625,3609.028564453125,3644.043701171875,3139.10107421875,121229463.0,2019,March,Thursday,0
2019-03-22,3663.572998046875,3699.93603515625,3636.30078125,3681.754638671875,3139.10107421875,104102388.0,2019,March,Friday,1
2019-03-25,3663.572998046875,3699.93603515625,3627.2099609375,3645.3916015625,3139.10107421875,95796820.5,2019,March,Monday,0
2019-03-26,3681.754638671875,3709.02685546875,3645.3916015625,3690.845458984375,3139.10107421875,95796820.5,2019,March,Tuesday,1
2019-03-27,3709.02685546875,3709.02685546875,3672.663818359375,3681.754638671875,3139.10107421875,95796820.5,2019,March,Wednesday,0
2019-03-28,3699.93603515625,3709.02685546875,3663.572998046875,3699.93603515625,3139.10107421875,95796820.5,2019,March,Thursday,1
2019-03-29,3681.754638671875,3763.5712890625,3681.754638671875,3736.299072265625,3139.10107421875,95796820.5,2019,March,Friday,1
2019-04-01,3763.5712890625,3781.7529296875,3754.480712890625,3772.662109375,3139.10107421875,95796820.5,2019,April,Monday,1
2019-04-02,3790.843505859375,3790.843505859375,3754.480712890625,3772.662109375,3139.10107421875,95796820.5,2019,April,Tuesday,0
2019-04-03,3772.662109375,3772.662109375,3772.662109375,3772.662109375,3139.10107421875,95796820.5,2019,April,Wednesday,0
2019-04-04,3799.934326171875,3890.841796875,3763.5712890625,3836.29736328125,3139.10107421875,95796820.5,2019,April,Thursday,1
2019-04-05,3872.660400390625,3899.9326171875,3863.569580078125,3881.751220703125,3141.696533203125,95796820.5,2019,April,Friday,1
2019-04-08,3899.9326171875,3899.9326171875,3827.20654296875,3863.569580078125,3139.10107421875,95796820.5,2019,April,Monday,0
2019-04-09,3890.841796875,3954.47705078125,3872.660400390625,3909.0234375,3163.769775390625,95796820.5,2019,April,Tuesday,1
2019-04-10,3909.0234375,3927.204833984375,3872.660400390625,3918.1142578125,3171.12744140625,116840608.0,2019,April,Wednesday,1
2019-04-11,3909.0234375,3927.204833984375,3890.841796875,3909.0234375,3163.769775390625,184441697.5,2019,April,Thursday,0
2019-04-12,3909.0234375,3927.204833984375,3890.841796875,3918.1142578125,3171.12744140625,95796820.5,2019,April,Friday,1
2019-04-15,3954.47705078125,3963.56787109375,3918.1142578125,3954.47705078125,3200.5576171875,95796820.5,2019,April,Monday,1
2019-04-16,3936.295654296875,3963.56787109375,3927.204833984375,3945.386474609375,3193.200439453125,99923195.0,2019,April,Tuesday,0
2019-04-17,3945.386474609375,3945.386474609375,3945.386474609375,3945.386474609375,3193.200439453125,95796820.5,2019,April,Wednesday,0
2019-04-18,4045.384765625,4299.92578125,3981.74951171875,4054.475341796875,3281.490966796875,184441697.5,2019,April,Thursday,1
2019-04-19,4054.475341796875,4054.475341796875,4054.475341796875,4054.475341796875,3281.490966796875,95796820.5,2019,April,Friday,0
2019-04-22,4054.475341796875,4054.475341796875,4009.021728515625,4036.2939453125,3266.776123046875,112161787.0,2019,April,Monday,0
2019-04-23,4009.021728515625,4045.384765625,4009.021728515625,4027.203125,3259.41845703125,95796820.5,2019,April,Tuesday,0
2019-04-24,4009.021728515625,4027.203125,3999.930908203125,3999.930908203125,3237.345458984375,184441697.5,2019,April,Wednesday,0
2019-04-25,3981.74951171875,3990.840087890625,3872.660400390625,3936.295654296875,3185.8427734375,184441697.5,2019,April,Thursday,0
2019-04-26,3854.478759765625,3963.56787109375,3827.20654296875,3936.295654296875,3185.8427734375,146163924.0,2019,April,Friday,0
2019-04-29,3899.9326171875,3954.47705078125,3890.841796875,3945.386474609375,3193.200439453125,95796820.5,2019,April,Monday,1
2019-04-30,3990.840087890625,4009.021728515625,3945.386474609375,3972.65869140625,3215.27294921875,140586828.0,2019,April,Tuesday,1
2019-05-01,3972.65869140625,3972.65869140625,3972.65869140625,3972.65869140625,3215.27294921875,95796820.5,2019,May,Wednesday,0
2019-05-02,4018.1123046875,4018.1123046875,3945.386474609375,3972.65869140625,3215.27294921875,139594281.0,2019,May,Thursday,0
2019-05-03,3936.295654296875,3999.930908203125,3918.1142578125,3981.74951171875,3222.630615234375,120435690.0,2019,May,Friday,1
2019-05-06,3909.0234375,3909.0234375,3809.025146484375,3845.38818359375,3139.10107421875,157313497.0,2019,May,Monday,0
2019-05-07,3827.20654296875,3890.841796875,3827.20654296875,3863.569580078125,3139.10107421875,124070152.0,2019,May,Tuesday,1
2019-05-08,3863.569580078125,3863.569580078125,3799.934326171875,3836.29736328125,3139.10107421875,132170032.0,2019,May,Wednesday,0
2019-05-09,3763.5712890625,3781.7529296875,3745.389892578125,3745.389892578125,3139.10107421875,179677103.0,2019,May,Thursday,0
2019-05-10,3727.208251953125,3781.7529296875,3718.11767578125,3745.389892578125,3139.10107421875,132313475.0,2019,May,Friday,0
2019-05-13,3754.480712890625,3763.5712890625,3727.208251953125,3727.208251953125,3139.10107421875,95796820.5,2019,May,Monday,0
2019-05-14,3645.3916015625,3718.11767578125,3609.028564453125,3681.754638671875,3139.10107421875,126601626.0,2019,May,Tuesday,0
2019-05-15,3681.754638671875,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,184137240.0,2019,May,Wednesday,0
2019-05-16,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,158507017.0,2019,May,Thursday,0
2019-05-17,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,170721848.0,2019,May,Friday,0
2019-05-20,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,181806520.0,2019,May,Monday,0
2019-05-21,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,184441697.5,2019,May,Tuesday,0
2019-05-22,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,130499434.0,2019,May,Wednesday,0
2019-05-23,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,184441697.5,2019,May,Thursday,0
2019-05-24,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,165441097.0,2019,May,Friday,0
2019-05-27,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,135938587.0,2019,May,Monday,0
2019-05-28,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,184441697.5,2019,May,Tuesday,0
2019-05-29,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,153687174.0,2019,May,Wednesday,0
2019-05-30,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,May,Thursday,0
2019-05-31,3645.3916015625,3745.389892578125,3618.119384765625,3727.208251953125,3139.10107421875,184441697.5,2019,May,Friday,1
2019-06-03,3727.208251953125,3727.208251953125,3727.208251953125,3727.208251953125,3139.10107421875,95796820.5,2019,June,Monday,0
2019-06-04,3727.208251953125,3727.208251953125,3727.208251953125,3727.208251953125,3139.10107421875,95796820.5,2019,June,Tuesday,0
2019-06-05,3727.208251953125,3727.208251953125,3727.208251953125,3727.208251953125,3139.10107421875,95796820.5,2019,June,Wednesday,0
2019-06-06,3727.208251953125,3727.208251953125,3727.208251953125,3727.208251953125,3139.10107421875,95796820.5,2019,June,Thursday,0
2019-06-07,3727.208251953125,3727.208251953125,3727.208251953125,3727.208251953125,3139.10107421875,95796820.5,2019,June,Friday,0
2019-06-10,3836.29736328125,3881.751220703125,3818.115966796875,3845.38818359375,3222.912353515625,184441697.5,2019,June,Monday,1
2019-06-11,3863.569580078125,3863.569580078125,3772.662109375,3845.38818359375,3222.912353515625,127900199.0,2019,June,Tuesday,0
2019-06-12,3790.843505859375,3827.20654296875,3790.843505859375,3827.20654296875,3207.673828125,102196275.0,2019,June,Wednesday,0
2019-06-13,3863.569580078125,3863.569580078125,3799.934326171875,3818.115966796875,3200.054443359375,128510489.0,2019,June,Thursday,0
2019-06-14,3790.843505859375,3854.478759765625,3790.843505859375,3845.38818359375,3222.912353515625,95796820.5,2019,June,Friday,1
2019-06-17,3863.569580078125,3863.569580078125,3818.115966796875,3818.115966796875,3200.054443359375,95796820.5,2019,June,Monday,0
2019-06-18,3799.934326171875,3872.660400390625,3799.934326171875,3872.660400390625,3245.769775390625,174179428.0,2019,June,Tuesday,1
2019-06-19,3927.204833984375,3945.386474609375,3890.841796875,3899.9326171875,3268.626953125,183945837.0,2019,June,Wednesday,1
2019-06-20,3936.295654296875,3936.295654296875,3890.841796875,3918.1142578125,3283.86572265625,118489316.0,2019,June,Thursday,1
2019-06-21,3899.9326171875,3963.56787109375,3872.660400390625,3963.56787109375,3321.961181640625,184441697.5,2019,June,Friday,1
2019-06-24,3918.1142578125,3954.47705078125,3899.9326171875,3918.1142578125,3283.86572265625,95796820.5,2019,June,Monday,0
2019-06-25,3954.47705078125,3954.47705078125,3899.9326171875,3936.295654296875,3299.103759765625,95796820.5,2019,June,Tuesday,1
2019-06-26,3936.295654296875,3972.65869140625,3927.204833984375,3963.56787109375,3321.961181640625,113137174.0,2019,June,Wednesday,1
2019-06-27,3981.74951171875,3990.840087890625,3954.47705078125,3981.74951171875,3337.19970703125,95796820.5,2019,June,Thursday,1
2019-06-28,3972.65869140625,3999.930908203125,3954.47705078125,3963.56787109375,3321.961181640625,112840719.0,2019,June,Friday,0
2019-07-01,3999.930908203125,4018.1123046875,3981.74951171875,4018.1123046875,3367.67626953125,115331382.0,2019,July,Monday,1
2019-07-02,4018.1123046875,4018.1123046875,3963.56787109375,4009.021728515625,3360.057373046875,147886774.0,2019,July,Tuesday,0
2019-07-03,3990.840087890625,4018.1123046875,3963.56787109375,3999.930908203125,3352.43798828125,95796820.5,2019,July,Wednesday,0
2019-07-04,3963.56787109375,3999.930908203125,3963.56787109375,3990.840087890625,3344.819091796875,95796820.5,2019,July,Thursday,0
2019-07-05,4018.1123046875,4018.1123046875,3981.74951171875,3999.930908203125,3352.43798828125,95796820.5,2019,July,Friday,1
2019-07-08,3981.74951171875,4009.021728515625,3972.65869140625,3999.930908203125,3352.43798828125,95796820.5,2019,July,Monday,0
2019-07-09,3972.65869140625,4009.021728515625,3972.65869140625,4009.021728515625,3360.057373046875,95796820.5,2019,July,Tuesday,1
2019-07-10,4009.021728515625,4072.656982421875,3999.930908203125,4063.566162109375,3405.772216796875,95796820.5,2019,July,Wednesday,1
2019-07-11,4081.74755859375,4127.20166015625,4072.656982421875,4099.92919921875,3436.249267578125,100559886.0,2019,July,Thursday,1
2019-07-12,4099.92919921875,4127.20166015625,4081.74755859375,4099.92919921875,3436.249267578125,95796820.5,2019,July,Friday,0
2019-07-15,4127.20166015625,4145.3828125,4109.02001953125,4118.11083984375,3451.487548828125,95796820.5,2019,July,Monday,1
2019-07-16,4090.83837890625,4136.2919921875,4090.83837890625,4136.2919921875,3466.7255859375,95796820.5,2019,July,Tuesday,1
2019-07-17,4109.02001953125,4136.2919921875,4090.83837890625,4109.02001953125,3443.8681640625,95796820.5,2019,July,Wednesday,0
2019-07-18,4090.83837890625,4099.92919921875,4036.2939453125,4045.384765625,3390.5341796875,95796820.5,2019,July,Thursday,0
2019-07-19,4045.384765625,4081.74755859375,4036.2939453125,4072.656982421875,3413.391845703125,95796820.5,2019,July,Friday,1
